"ID","FL","AgeClass"
251,39.5,"2"
252,39.2,"2"
253,41.7,"2"
254,36.7,"2"
255,37.6,"2"
379,37,"2"
380,37.3,"2"
398,41.3,"3"
409,32.3,"1"
429,35.6,"3"
430,45.2,"3"
431,44.6,"3"
432,45,"4"
433,58.4,"4"
434,46.5,"3"
435,47.9,"3"
436,49.8,"3"
437,49.2,"3"
438,49.3,"3"
439,43.3,"3"
588,33.1,"2"
589,31.9,"2"
591,28.3,"1"
592,29,"1"
593,31.3,"1"
632,62,"5"
633,47.2,"4"
634,42.26313339,"3"
635,44.05332636,"2"
646,28.8,"1"
647,32.2,"1"
648,30.7,"2"
649,33.2,"2"
650,27.5,"0"
661,35.2,"2"
665,31,"1"
823,29.8,"1"
824,28.6,"1"
825,34,"2"
826,31,"1"
827,37.4,"2"
828,30,"1"
829,32.6,"1"
830,34.8,"2"
831,36.1,"2"
832,35.1,"1"
833,32,"1"
834,32.8,"1"
835,40.7,"2"
836,33.6,"2"
837,29.2,"1"
838,32.7,"1"
839,31.1,"1"
841,33.7,"1"
842,31.3,"1"
843,31.8,"1"
844,32.8,"2"
845,27.5,"1"
846,29.4,"1"
847,31.8,"1"
848,33,"1"
849,33.5,"1"
851,34,"1"
852,29.5,"1"
853,31,"1"
854,31.2,"1"
855,33.7,"1"
856,36.5,"1"
857,32.1,"1"
858,41,"2"
859,39.2,"1"
868,44,"2"
870,42.2,"2"
901,31.8,"1"
902,35.6,"2"
903,35.6,"1"
904,34.9,"1"
905,37.9,"2"
906,35.7,"2"
907,49.6,"3"
908,33.5,"1"
909,27.1,"1"
910,32.2,"1"
911,30,"1"
912,29.7,"2"
913,33.9,"1"
914,38.7,"2"
915,29.8,"1"
916,27.6,"1"
917,32.6,"1"
918,29.7,"1"
919,32.9,"1"
920,31.4,"1"
921,31.7,"1"
922,29.7,"1"
923,28.6,"1"
924,32.2,"1"
925,34.8,"1"
926,37.2,"1"
953,33.4,"1"
954,32,"1"
975,34.4,"2"
976,37.2,"2"
977,30.7,"1"
978,30.4,"2"
979,31.4,"2"
980,32.5,"2"
981,34.7,"2"
982,29.9,"1"
983,29.4,"1"
984,30.3,"1"
985,32.8,"1"
1008,35.6,"1"
1009,28.6,"1"
1010,30.1,"1"
1011,34.8,"2"
1012,33.9,"1"
1013,31.5,"2"
1014,32,"1"
1015,33.5,"1"
1016,34.9,"2"
1017,32.2,"2"
1018,33.4,"2"
1019,39.4,"2"
1038,29.7,"1"
1049,47,"2"
1068,37.4,"2"
1070,31.3,"1"
1071,33.8,"1"
1072,31.6,"1"
1073,29.9,"2"
1074,33.7,"2"
1075,33.1,"1"
1076,32.8,"1"
1077,32.4,"1"
1078,34.8,"2"
1079,34.7,"1"
1080,33.8,"1"
1082,34.5,"1"
1083,35.8,"1"
1084,41.6,"2"
1085,32.4,"1"
1086,29,"1"
1087,45.2,"2"
1088,37.4,"2"
1089,29.8,"1"
1090,32.5,"1"
1091,28.3,"1"
1092,30.3,"1"
1093,30.5,"1"
1094,31.6,"1"
1095,28.1,"1"
1097,27.4,"1"
1098,30.8,"1"
1099,38.6,"2"
1100,35.2,"2"
1101,36,"1"
1102,30.5,"1"
1103,36.8,"2"
1104,33.3,"1"
1105,33.7,"2"
1106,46.7,"2"
1107,33.2,"2"
1108,29.8,"1"
1109,31.1,"2"
1110,35.4,"2"
1111,38,"2"
1112,32.2,"1"
1113,37.9,"2"
1114,30.8,"1"
1115,41.7,"2"
1116,30.1,"1"
1117,34.6,"2"
1118,29.2,"1"
1119,33,"1"
1120,27.8,"1"
1121,33.3,"2"
1122,32.5,"1"
1123,32.4,"1"
1124,41.7,"2"
1125,31.2,"2"
1126,27.9,"1"
1127,32.1,"2"
1139,32.5,"2"
1140,33,"1"
1141,36.8,"2"
1142,27.6,"1"
1143,50,"3"
1144,40.8,"2"
1145,33.4,"2"
1146,32.4,"1"
1147,27.7,"1"
1148,27.2,"0"
1149,35.3,"2"
1150,43.8,"3"
1151,34.6,"1"
1152,50.4,"2"
1153,36.8,"2"
1154,37.3,"2"
1155,34.7,"2"
1156,33.8,"2"
1157,34.4,"1"
1158,35.5,"2"
1159,32,"1"
1160,37,"1"
1161,34,"2"
1162,32.5,"1"
1163,35.6,"2"
1164,36.8,"2"
1165,35.8,"2"
1166,29.7,"1"
1167,34,"1"
1168,31.6,"2"
1169,31,"2"
1170,31,"2"
1171,34.5,"2"
1172,33.5,"1"
1173,36.5,"2"
1184,55.2,"3"
1185,43.8,"2"
1186,44.9,"2"
1187,60,"4"
1188,48.9,"3"
1189,46.8,"2"
1190,52.9,"3"
1191,48.7,"2"
1192,42.7,"2"
1193,56.3,"4"
1194,53.4,"4"
1195,32,"1"
1196,30.4,"1"
1197,43.8,"2"
1198,38.1,"1"
1199,43.5,"2"
1200,38,"2"
1201,52.9,"3"
1202,67.5,"4"
1204,38.9,"2"
1205,42.4,"2"
1206,39.5,"2"
1207,43.5,"2"
1208,34.2,"2"
1209,41.8,"2"
1210,37,"1"
1211,45.6,"4"
1212,33.3,"1"
1213,34.9,"1"
1214,33.5,"2"
1215,31.9,"1"
1216,34.8,"1"
1217,49,"2"
1218,38.4,"2"
1219,33.2,"1"
1220,32.8,"1"
1221,33.7,"1"
1222,40.5,"2"
1223,38.1,"2"
1224,37.8,"2"
1225,49.6,"3"
1226,32.2,"1"
1227,30.8,"2"
1228,46.5,"4"
1229,47.1,"4"
1230,37.2,"2"
1231,57.8,"4"
1235,42.3,"2"
1236,34.1,"1"
1237,37.3,"2"
1238,40,"2"
1239,37.1,"3"
1240,38.5,"2"
1241,37.5,"2"
1242,38.1,"2"
1243,35.4,"1"
1244,33.3,"2"
1245,38.2,"2"
1246,36.8,"2"
1247,34.8,"2"
1248,37,"2"
1249,37.2,"2"
1250,38,"3"
1251,36.4,"2"
1252,35.5,"2"
1253,37.7,"2"
1254,36.5,"2"
1255,34.7,"2"
1256,36.7,"1"
1257,31.9,"1"
1258,35.5,"1"
1259,35.5,"2"
1260,46,"2"
1261,41.2,"3"
1262,36.5,"1"
1263,37.1,"2"
1264,35.4,"2"
1265,36,"2"
1266,37.6,"2"
1267,33.1,"1"
1268,39.1,"2"
1269,36.7,"2"
1270,34.7,"2"
1271,37.3,"2"
1272,38.2,"2"
1273,39.9,"2"
1274,41.2,"2"
1275,40.2,"2"
1276,43.8,"2"
1277,36.7,"2"
1278,36.8,"2"
1279,35.7,"2"
1280,37.4,"2"
1284,51,"2"
1285,52.8,"3"
1286,44.5,"2"
1287,40,"2"
1288,41,"2"
1289,33.8,"1"
1290,36.8,"2"
1291,29.4,"1"
1292,30.6,"1"
1293,33.9,"2"
1294,35.6,"2"
1295,36.2,"1"
1296,32.4,"1"
1297,36.2,"1"
1298,36.2,"2"
1299,32.7,"2"
1300,33.5,"1"
1301,33.6,"1"
1302,35,"2"
1303,38.3,"2"
1304,34.9,"2"
1305,37.2,"1"
1306,76.5,"5"
1307,38,"1"
1308,36.9,"2"
1310,28.83668616,"1"
1311,29.73178264,"2"
1312,27.94158967,"3"
1313,27.94158967,"2"
1314,30.17933088,"2"
1315,28.83668616,"1"
1316,30.62687912,"1"
1317,31.5219756,"1"
1318,35.99745802,"2"
1319,37.78765098,"2"
1320,39.2,"2"
1321,33.2,"2"
1322,36.9,"2"
1323,35.8,"2"
1324,39.1,"2"
1325,44.7,"1"
1326,35.4,"1"
1327,36.8,"2"
1328,32.2,"2"
1329,36.5,"2"
1330,45.3,"2"
1331,32.5,"1"
1332,39.8,"2"
1333,37.4,"2"
1334,39.1,"2"
1335,38.2,"2"
1336,45.4,"2"
1337,36.6,"2"
1338,37.9,"2"
1339,45.3,"2"
1340,44.4,"3"
1341,38.6,"2"
1342,36,"2"
1343,31.9,"2"
1344,37.5,"2"
1345,36,"2"
1346,38.8,"2"
1347,41,"2"
1348,35.7,"2"
1349,35.6,"2"
1350,32.2,"1"
1351,45,"1"
1352,49.8,"4"
1353,29.2,"1"
1354,45,"2"
1355,47,"2"
1356,38.9,"2"
1357,43.4,"2"
1358,28.2,"1"
1359,34.8,"1"
1360,31.3,"1"
1361,28.8,"1"
1362,32.2,"1"
1363,28.5,"1"
1364,35.8,"1"
1365,34.2,"2"
1366,30.5,"2"
1367,37.9,"2"
1368,28.8,"1"
1369,31.9,"2"
1370,33.9,"2"
1371,33.6,"2"
1372,36,"2"
1373,30.5,"1"
1374,29.4,"1"
1375,43.4,"2"
1376,38.8,"2"
1377,31.8,"1"
1378,33.7,"1"
1379,35,"1"
1380,35,"2"
1381,28.6,"1"
1382,28.8,"1"
1383,34.7,"2"
1385,27.9,"1"
1387,32.6,"1"
1388,28.5,"1"
1389,43.7,"3"
1390,35.1,"2"
1391,32.4,"1"
1392,42.9,"2"
1393,46.3,"3"
1394,43.6,"3"
1395,41.9,"3"
1396,38.9,"3"
1397,41.2,"2"
1398,36,"2"
1399,37.6,"2"
1400,43.1,"2"
1401,37.6,"2"
1402,32.3,"2"
1403,41.2,"2"
1404,43,"2"
1405,47.3,"3"
1406,43.6,"2"
1407,36.9,"2"
1408,33.6,"2"
1409,36.2,"2"
1410,35.5,"2"
1411,36.1,"2"
1412,37,"2"
1413,35.2,"2"
1414,36.9,"2"
1415,35,"2"
1416,35.2,"1"
1417,38.8,"2"
1418,34.1,"2"
1419,43.4,"2"
1420,35,"2"
1421,39.7,"2"
1422,42.3,"3"
1423,34.5,"1"
1424,37.4,"2"
1425,35.9,"2"
1426,36.7,"2"
1427,36.6,"2"
1428,37.6,"2"
1429,32.2,"1"
1430,42.1,"2"
1431,38.6,"2"
1432,39.4,"2"
1433,37.3,"2"
1434,34.9,"2"
1435,30.3,"1"
1436,34.9,"2"
1437,34.8,"1"
1438,51.4,"4"
1439,35.5,"3"
1440,37.6,"2"
1441,30.2,"1"
1442,33.3,"1"
1443,33,"1"
1444,34.9,"1"
1445,31.4,"1"
1446,31.7,"1"
1447,37.4,"2"
1448,37,"2"
1449,36.8,"2"
1450,55.4,"3"
1451,39.7,"2"
1452,38.4,"2"
1453,48.3,"4"
1495,36.5,"2"
1496,39.6,"2"
1497,31.9,"1"
1498,37,"2"
1499,43.8,"2"
1500,36.8,"2"
1501,38.8,"2"
1502,34.3,"2"
1503,40.2,"2"
1504,39.5,"2"
1505,32.7,"2"
1506,36.8,"2"
1507,43.6,"2"
1508,36.8,"2"
1509,44,"2"
1510,36.2,"2"
1511,35.3,"1"
1512,37.7,"2"
1513,38.8,"1"
1514,35.5,"2"
1515,28.2,"1"
1516,32.4,"2"
1517,31.4,"2"
1518,29,"2"
1519,34.8,"2"
1520,34.9,"2"
1521,34.2,"2"
1522,28.2,"2"
1523,27.9,"2"
1524,32.8,"2"
1525,33.1,"2"
1526,32.8,"2"
1527,38.8,"2"
1528,36.9,"2"
1529,40.1,"2"
1530,40.7,"2"
1531,40,"2"
1532,35.7,"1"
1533,37.2,"2"
1534,34.6,"2"
1535,29.5,"1"
1536,32.7,"1"
1537,34,"2"
1538,35,"2"
1539,35.2,"2"
1540,35.8,"2"
1541,36.3,"2"
1542,42.7,"3"
1543,34.2,"2"
1544,42.6,"3"
1545,33,"2"
1547,73.6,"6"
1548,33,"2"
1549,29,"2"
1550,29,"2"
1551,35.2,"3"
1552,32.5,"2"
1553,31,"1"
1554,31.2,"1"
1555,31.5,"1"
1556,34.6,"2"
1557,33.9,"2"
1558,28.8,"1"
1559,32.8,"1"
1560,36,"2"
1561,29.5,"1"
1562,34.7,"2"
1563,34.7,"1"
1564,29.4,"1"
1565,31.4,"1"
1566,28.2,"2"
1567,29.4,"1"
1568,32.4,"1"
1569,31.2,"1"
1570,34.7,"1"
1571,29.1,"1"
1572,28.7,"1"
1573,29.1,"2"
1574,31.9,"2"
1575,29.5,"2"
1576,32.6,"3"
1577,33.8,"2"
1578,30.2,"2"
1579,34,"3"
1580,32.4,"2"
1581,63,"5"
1582,30.4,"1"
1583,35.8,"2"
1584,31.6,"1"
1585,31.5,"1"
1586,36.2,"2"
1587,32.1,"2"
1588,37.3,"2"
1589,36.5,"2"
1590,38.4,"2"
1591,35.7,"1"
1592,30.8,"2"
1593,28.3,"2"
1594,31,"2"
1595,31.6,"2"
1596,31.7,"2"
1597,31.5,"2"
1598,34,"1"
1599,40.7,"2"
1600,36.8,"2"
1601,34.9,"2"
1602,31.4,"1"
1603,29.4,"1"
1604,34.7,"2"
1605,31.7,"2"
1606,35.8,"1"
1607,33.1,"2"
1608,33.4,"2"
1609,36.9,"2"
1610,36.1,"2"
1611,34.6,"2"
1612,39.5,"2"
1613,37.2,"2"
1614,35.6,"2"
1615,35.8,"2"
1616,38.5,"2"
1617,37.2,"1"
1618,41.1,"2"
1619,33.4,"1"
1620,34.6,"1"
1621,35.2,"1"
1622,33,"2"
1623,33.8,"2"
1624,31.6,"1"
1625,31,"1"
1626,33.8,"1"
1627,29.8,"1"
1628,36.5,"2"
1629,35.6,"2"
1630,30.8,"1"
1631,30.2,"1"
1632,32.3,"1"
1633,35.5,"2"
1634,36.3,"3"
1635,45.1,"3"
1636,58.7,"5"
1637,32.8,"2"
1638,34.7,"2"
1639,33.4,"2"
1640,39.1,"3"
1641,34.7,"2"
1642,29.3,"2"
1643,36.3,"2"
1644,38.2,"2"
1645,34.3,"2"
1646,34.7,"2"
1647,36.2,"2"
1648,41.1,"2"
1649,37.1,"2"
1650,33.2,"2"
1651,33.7,"2"
1652,36.9,"2"
1653,37.4,"2"
1654,37.5,"2"
1655,34.7,"2"
1656,41.1,"2"
1657,41,"3"
1658,36,"2"
1659,36.5,"2"
1660,35.2,"2"
1661,32.8,"2"
1662,34.5,"2"
1663,32.1,"2"
1664,30.9,"2"
1665,34.1,"2"
1666,33,"2"
1667,30.6,"2"
1668,27.3,"1"
1669,30.7,"2"
1670,32.8,"2"
1671,30.1,"1"
1672,31.5,"2"
1673,35.4,"2"
1674,42.4,"2"
1675,39.7,"2"
1676,37.1,"2"
1677,34.6,"2"
1678,39.3,"2"
1679,35,"2"
1680,32.7,"2"
1681,32,"2"
1682,32.5,"2"
1683,31.4,"2"
1684,32.2,"1"
1685,30,"2"
1686,33.3,"1"
1687,31.4,"2"
1688,32.2,"2"
1689,27.8,"1"
1690,29.7,"2"
1691,31.3,"1"
1692,28.6,"2"
1693,30.8,"2"
1694,32.1,"1"
1695,31.4,"1"
1696,31.4,"1"
1697,32.7,"2"
1698,27.2,"1"
1699,29.5,"1"
1700,31.2,"2"
1701,34.4,"3"
1702,33.7,"3"
1703,29.4,"2"
1704,32.6,"2"
1705,30.4,"2"
1706,32.7,"3"
1707,35.3,"3"
1708,37.8,"3"
1709,31.5,"3"
1710,30.3,"2"
1711,28.2,"2"
1712,32.6,"3"
1713,32.2,"2"
1714,33,"2"
1715,29.9,"2"
1716,40.2,"3"
1717,32.7,"2"
1718,29.7,"2"
1719,34.1,"2"
1720,31.5,"2"
1721,30.6,"2"
1722,33.3,"2"
1723,30.4,"2"
1724,31.6,"2"
1725,30.1,"2"
1726,29.7,"2"
1727,35.7,"3"
1728,31.6,"2"
1729,37.78765098,"3"
1730,39.57784395,"2"
1731,33.31216857,"2"
1732,33.31216857,"2"
1733,35.99745802,"3"
1734,40.47294043,"3"
1735,80.7,"7"
1750,40.1,"4"
1751,35.3,"3"
1752,36.4,"2"
1753,29.6,"2"
1754,30.1,"2"
1755,36,"3"
1756,31.7,"3"
1757,37.1,"3"
1758,32.3,"2"
1759,36.4,"3"
1760,39.1,"3"
1762,29.7,"1"
1763,28.1,"1"
1764,29,"1"
1765,30.7,"1"
1766,30.1,"1"
1767,31.9,"1"
1768,28.3,"1"
1769,27.3,"1"
1770,29.7,"2"
1771,29.6,"2"
1772,31.4,"1"
1773,31.4,"1"
1774,30.2,"1"
1775,56.6,"4"
1776,30.3,"1"
1777,29.6,"1"
1780,27.6,"1"
1781,29.5,"1"
1784,31.3,"1"
1785,30.2,"1"
1786,31.6,"1"
1787,35.2,"1"
1788,33.1,"1"
1789,32.8,"1"
1790,32.4,"1"
1791,31.2,"1"
1792,27.2,"1"
1794,28.3,"1"
1795,27.8,"1"
1796,28,"1"
1797,29.1,"2"
1798,32.4,"1"
1799,30,"1"
1800,28.7,"1"
1801,28.2,"1"
1802,30.5,"1"
1803,32.2,"1"
1804,30.5,"2"
1805,30.3,"1"
1806,28.4,"1"
1808,30.5,"1"
1809,33.1,"1"
1810,32.1,"1"
1811,30.3,"1"
1812,32.2,"1"
1813,29.4,"1"
1814,30.1,"1"
1815,32.3,"1"
1816,30.8,"1"
1817,30.6,"1"
1818,29.4,"1"
1820,31.7,"1"
1821,31.5,"1"
1822,32.2,"1"
1823,40.2,"2"
1824,30.8,"1"
1825,32.8,"2"
1826,29.9,"2"
1827,30,"1"
1828,30.2,"1"
1829,32.9,"2"
1830,33.5,"2"
1831,31.4,"1"
1832,28.8,"1"
1833,34.1,"1"
1834,30.1,"1"
1835,34,"1"
1836,33,"1"
1837,30.6,"1"
1838,29.3,"1"
1839,31.2,"1"
1840,30.5,"1"
1841,31.2,"1"
1842,33,"1"
1843,30.2,"1"
1844,30.8,"1"
1845,39,"2"
1846,29.2,"1"
1847,33.5,"1"
1848,36.4,"2"
1849,29,"1"
1850,38.1,"1"
1851,37.5,"2"
1852,34.9,"2"
1853,36.5,"2"
1854,33.6,"2"
1855,37.1,"3"
1856,33.1,"2"
1857,32.3,"2"
1858,30.5,"1"
1859,41.2,"3"
1860,35.2,"2"
1861,35.5,"2"
1862,36.8,"2"
1863,32.5,"0"
1864,61,"4"
1865,48.6,"3"
1866,44.9,"2"
1867,44.4,"2"
1868,48.8,"2"
1869,58.6,"4"
1870,38.8,"2"
1871,40.7,"2"
1872,38.3,"2"
1873,35.4,"2"
1874,39.5,"2"
1875,38,"2"
1876,38.2,"2"
1877,44.5,"3"
1878,37,"2"
1879,38.4,"2"
1880,39.9,"2"
1881,37.7,"2"
1882,34.5,"2"
1883,38.4,"2"
1884,28.7,"1"
1886,47.5,"2"
1887,34.5,"1"
1888,31.1,"1"
1889,36.8,"2"
1890,31.6,"1"
